note_id,category,note_type,title,content,tags,tag_count,likes,collects,comments_count,shares,engagement,publish_time,publish_hour,publish_weekday,author_name,author_fans,author_total_likes,author_tier,image_count,cover_url,video_duration,ip_location,source_keyword,title_length,content_length,has_emoji,has_numbers,title_hook_count,is_viral,cover_analysis,content_analysis,imported_at
690303a600000000030236bf,travel,image,总要去一趟川西吧🏔️,#山不向我走来我便向山走去[话题]# #被雪山治愈的瞬间[话题]# #眼睛在天堂[话题]# #山不见我我去见山[话题]# #与高原同频呼吸[话题]# #川西旅游[话题]# #自然[话题]# #川西[话题]# #氛围感背景图[话题]# #壁纸无水印[话题]#,"[""山不向我走来我便向山走去"", ""被雪山治愈的瞬间"", ""眼睛在天堂"", ""山不见我我去见山"", ""与高原同频呼吸"", ""川西旅游"", ""自然"", ""川西"", ""氛围感背景图"", ""壁纸无水印""]",10,6783,1291,0,3610,11684,2025-10-30T14:20:22,14,3,小羊的寻宝日记,0,168878,mid,9,http://sns-webpic-qc.xhscdn.com/202604081510/e72327f53c04ae68f16ea860a308b3fc/notes_pre_post/1040g3k831o8kcjb9mgig5pks8b693tnori9u0d8!nd_dft_wlteh_webp_3,,,,10,128,1,0,1,0,,,2026-04-08 14:23:37
69abfdf2000000001a029dad,travel,image,“想和你交换一个属于樱花的春天”,"春天仿佛天生属于富士山，盛开的樱花下随时感觉自己是日剧少女。没去打卡网红机位，自己环湖到处逛，倒是发现了很多没人知道的小众宝藏。
.
1️⃣河口湖红线巴士坐到木之花美术馆下车，沿湖走一路都能看到🌸下的富士山，春和景明就这么具像化的铺在眼前。
2️⃣走到中途下到岸边，有个浅滩可以走进去，就能拍到在湖面上跟山同框的图啦。
3️⃣风之露台门口的大樱花树，也是红线巴士直达。
4️⃣ 新仓山公园，从高处看下去，富士山映在成片的樱花下，很震撼。
5️⃣富士山站附近。出站走了一百米，突然在路边看到一颗巨大的垂樱，美到挪不开眼睛。
6️⃣忍野八海，去的那天虽然富士山顶被云遮住，但只是河流草地樱花就已经美到词穷～
7️⃣东圆寺，就在忍野八海旁边，古建加上樱花，有种江户美。
	
#交换春天[话题]# #ourspring[话题]# #春天当然要拍花[话题]# #colorwalk[话题]# #树会知道春的来意[话题]# #路上的春天[话题]# #旅游编辑部[话题]##旅游万粉扶持计划[话题]# #记录吧就现在[话题]# #电影感[话题]# #拍出电影感[话题]#  #旅途中的美景[话题]# #假期去哪玩[话题]##日本旅行[话题]# #日本旅游[话题]##赏樱[话题]# #这个季节是属于樱花的[话题]# #樱花季[话题]# #樱花[话题]# #樱花拍照[话题]# #日本樱花[话题]# #日本樱花季[话题]# #富士山[话题]# #富士山下[话题]# #河口湖[话题]#","[""交换春天"", ""ourspring"", ""春天当然要拍花"", ""colorwalk"", ""树会知道春的来意"", ""路上的春天"", ""旅游编辑部"", ""旅游万粉扶持计划"", ""记录吧就现在"", ""电影感"", ""拍出电影感"", ""旅途中的美景"", ""假期去哪玩"", ""日本旅行"", ""日本旅游"", ""赏樱"", ""这个季节是属于樱花的"", ""樱花季"", ""樱花"", ""樱花拍照"", ""日本樱花"", ""日本樱花季"", ""富士山"", ""富士山下"", ""河口湖""]",25,1440,1109,0,666,3215,2026-03-07T18:29:06,18,5,橙子的小旅橙,0,1802751,macro,15,http://sns-webpic-qc.xhscdn.com/202604081510/45069e3a0d81c9d934d1d8abe5ccd0b9/notes_pre_post/1040g3k031tdkusvslk2g40sr0k149nlmqv476i0!nd_dft_wlteh_webp_3,,,,16,634,1,0,0,0,,,2026-04-08 14:23:37
697c60d6000000000e03ce62,travel,image,香港One Day暴走行程全公开！,"先回复很多粉丝朋友关心的内容：
一天步数：23607步
总公里：18.67公里
爬楼：40层
	
这次来香港参加Prada的活动，特意跟工作人员说，想要多留一天给自己扫街。虽然之前来过HK，但都是工作性质，从来没有认真的到处走走。也是因为爱上摄影，HK又是摄影天堂，因此绝不能错过这个机会。提前做了攻略，把想拍的想吃的都收藏完备，一切准备就绪。（J人必须做攻略，一个环节不能耽误，这也保证了我当天设定的每个环节全部打卡成功[doge]）
	
虽然依旧伪装失败，一直在被路透。但还是跟大家分享一下我计划的路线——精准版：
	
酒店（中环）-文武庙（上环）-坚尼地城-嘉咸市集（上环）-中环街市-美利大厦-铜锣湾-天星小轮-旺角-金鱼街-油麻地-金丽宫（摄影佬专属，不拍可不去）-莲香楼（中环，同左）-酒店
	
另外，终审法院是第一天落地就去拍了，半个小时没有等到红色的叮叮车，法院灯都关了只好作罢。
	
然后，我city walk这天是周六，人真的太多了。尤其是坚尼地城，中环街市，天星小轮这三个出片点，拍照还是有一些被影响的。如果大家想拍干净点的画面，可能需要避开人流高峰期。
	
中间具体的咖啡和美食就不分享了，萝卜白菜各有所爱。并且我的原则就是不排队，不耽误节奏，甚至午餐都是用汉堡解决，也因此有一些收藏了的美食就这样错过了。
	
总体来说，收获颇丰！同时还拍了胶片，后面慢慢发。
	
#香港[话题]# #citywalk[话题]# #扫街[话题]# #富士[话题]# #文武庙[话题]# #坚尼地城[话题]# #中环街市[话题]# #美利大厦[话题]# #天星小轮[话题]#","[""香港"", ""citywalk"", ""扫街"", ""富士"", ""文武庙"", ""坚尼地城"", ""中环街市"", ""美利大厦"", ""天星小轮""]",9,60000,11000,0,15000,86000,2026-01-30T15:42:14,15,4,李现,0,9726283,macro,18,http://sns-webpic-qc.xhscdn.com/202604081510/c74fe44a7e97b93f3e6e97139ddf5296/notes_pre_post/1040g3k031rv3a3c2ia6g4a4a1eh3d1ehnbif8e8!nd_dft_wlteh_webp_3,,,,17,690,0,0,1,1,,,2026-04-08 14:23:37
69944f4b000000001a024986,travel,image,以为苏州够美了，直到去了这里……,"如果你来苏州的时间有限
不妨尝试去一下这些小众打卡地
基本在平江路附近
柴园、东园…景美人少🌳
在一些小店里发现苏州的印记
逛累了来试试苏式火锅
这一刻才算真正懂了“人间烟火是姑苏”
#苏州美食[话题]##苏州旅行[话题]# #本地人推荐[话题]# #苏州吃喝玩乐[话题]##苏州旅游[话题]##苏州小吃[话题]#","[""苏州美食"", ""苏州旅行"", ""本地人推荐"", ""苏州吃喝玩乐"", ""苏州旅游"", ""苏州小吃""]",6,5329,2832,0,1680,9841,2026-02-17T19:21:47,19,1,是k酱,0,1660311,macro,12,http://sns-webpic-qc.xhscdn.com/202604081511/0473f010d1d97f92d2ef3867473525fe/notes_pre_post/1040g3k031smcrn22m8604507h17e1sqnfmbgrf8!nd_dft_wlteh_webp_3,,,,16,157,1,0,0,0,,,2026-04-08 14:23:37
69a0ce33000000000d008f89,travel,image,,挤不进的赛道就不要硬挤了，一个人旅游的第一天好后悔，好难受😣11点多到的民宿，快2店才睡，睡不着，5点就醒了，头晕头疼，都不太想去景点了[哭惹R],[],0,356,155,0,16,527,2026-02-27T06:50:27,6,4,百夜米迦迦,0,1470,nano,1,http://sns-webpic-qc.xhscdn.com/202604081511/d0c3ee5e8b949768a12856736b2eb0e1/1040g00831t2namh55s6g5p2ej12jolvcqo9fr0o!nd_dft_wlteh_webp_3,,,,0,73,1,0,0,0,,,2026-04-08 14:23:37
69a452000000000022031477,travel,image,重要的不是到哪里而是走出去,本人现在是大二工科在读学生[微笑R]因为课程压力不大课也不多所以会经常翘课or代课or请假拼拼凑凑出一个小假期出去旅游[笑哭R]三个学期加上实习（纯玩的那种认知实习）去了 长沙 南昌 武汉 南京 苏州 杭州 绍兴 黄山 西安 贵阳 安顺 桂林 柳州 重庆大大小小应该有十余个城市了[微笑R]有和全年级同学一起出去的实习[哇R]也有和朋友或者搭子的结伴出游[喝奶茶R]也有自己一个人的solo trip[棒R]自己细细复盘了一下这些旅游经历[微笑R]其实除了苏州杭州是自己自身到达之前特别喜欢的城市之外其他的城市更多的都是网上或者周围人的推荐[暗中观察R]在这里我也不想讨论在旅游中遇到的部分景点同质化的问题[吧唧R]而是想说自己其实在每一段旅游经历中享受的不仅仅是旅途中看到的景点[赞R]还有1.每次出发之前做的攻略[皱眉R]对不同景点不同评价的辩证思考判断[萌萌哒R]去还是不去的舍取 以及自身到了目的地的亲身感受 不随大流保持自己独立的思考[赞R]2.出发前所做的准备[萌萌哒R]安排好翘课逃课的时间 提前了解哪些老师查人不严[笑哭R]其实我最享受的是收拾行李走出校门踏进车站或者机场的过程[棒R]3.旅游资金的筹集[赞R]有兼职的就做兼职 没做兼职的时候就好好规划钱怎么花[偷笑R]因为本人做过兼职也换过不同的兼职有时候找不到合适的也不会硬着头皮干[赞R]这仨个学期差不多小半个中国中部[笑哭R]在寻思下学期可以去哪些地方玩的时候突然意识到其实自己不是特别需要到达某个地方[吧唧R]而是为了填补自己大学生活的空缺 让自己的行程不固定在宿舍教室食堂三点一线中[赞R]旅游前的准备让自己会很有盼头 旅游中的享受是实打实的感受 旅游后的复盘以及回顾朋友圈也是小有成就感[赞R]我感觉其实也不一定要每个月都买一张车票或者机票出去旅游[吧唧R]such as:1.如果是做兼职买了自己喜欢的东西也会很有成就感 2.如果是和朋友或者室友出去一起下馆子吃到了好吃的也会很开心 3.和朋友开小电驴在街上逛探索学校周边也会很开心 4.在青旅里和陌生人一起聊天或者短时间搭子旅游也是新奇的体验……[萌萌哒R]感觉总结下来就是不要总待在寝室和教室里[赞R]虽然和室友关系也挺不错的室友人很好[赞R]但是还是感觉如果老是一直待在学校里会闷死。。。有些体验是老老实实待在学校里体验不到的 #来一场说走就我走的旅行吧[话题]##旅游就是自由[话题]# #穷游[话题]##大学生[话题]##男大学生[话题]##体验[话题]##兼职[话题]##大学生活[话题]##男大[话题]# #旅游[话题]#,"[""旅游就是自由"", ""穷游"", ""大学生"", ""男大学生"", ""体验"", ""来一场说走就我走的旅行吧"", ""兼职"", ""大学生活"", ""男大"", ""旅游""]",10,97,24,0,4,125,2026-03-01T22:49:36,22,6,KNO3,0,1996,nano,1,http://sns-webpic-qc.xhscdn.com/202604081511/69e41011487d5fa10bfed690d1209f74/1040g00831t628hh75a1g5pj97ii1ostifpl6hso!nd_dft_wlteh_webp_3,,,,13,1085,0,0,0,0,,,2026-04-08 14:23:37
69bfa9830000000021011a35,travel,image,第一次出国堪称完美的八天旅程,"新加坡4天，吉隆坡2天，亚庇2天，总花费10000出头，一趟超级完美的旅程，除了在吉隆坡街上看到暴露的印度人xx以外[汗颜R]那里外劳真的太多了…一路走得飞快很没安全感…
大家如果有关于这三个地方旅行的疑问，可以在评论区问我，我知道的都会回答！
补充一下关于美食：
在新加坡除了去吃了两次食阁，还在克拉码头吃了一家峇峇娘惹海南鸡饭|娘惹菜。白切甘榜海南鸡还不错，比在吉隆坡吃的椰浆鸡饭合胃口，老板还送我们冰箱贴和娘惹包好开心～在旧警察署附近埃尔金桥边吃一家印度菜sultan palace，店员都是印度人感觉就很正宗哈哈哈，但吃一次就够了太容易腻了。在圣淘沙吃了Mr Hainan的糟粕醋海鲜汤煲和明炉荷叶烧小海鲜鱼，还不错很新鲜做法保留本味，让我觉得挺家常挺舒服。甜品吃了99老榴莲，是整个吃榴莲煎蕊行程中最爱的一家！
在吉隆坡吃了新丰肉骨茶，点的汤的，因为这是第一次吃肉骨茶我不知道算正不正宗但我挺喜欢，没有特地去大家都提到的食全食美吃，看这里也有奶油虾就点了，也好吃。在KLCC吃了华阳冰室，我觉得最火的椰浆饭和咖啡仙草冻我都不太喜欢，但是大家如果去都去了我还是推荐一试！不用太把推荐和避雷当回事，重在体验嘛。在亚庇试了干的肉骨茶（其实就是红烧肉啊吃起来）吃叻沙的话怡丰和京那巴鲁我更喜欢怡丰，当然青苹果汁也去喝啦，新鲜苹果榨的不稀奇就是了。
	
其实大家问我哪里推不推荐，好不好玩，我认为这与个人状态和心境也有很大的关系。对我而言去了一个与自己平常生活不一样的地方文化习惯氛围不一样的地方的时候，我会感到新奇和新鲜，我从飞机在马六甲海峡上空的时候就已经很兴奋了，所以这个旅程对我来说就是好玩的难忘的推荐的。同一个地方，每个人的感受和体验都会不一样，我觉得不如自己出发，自己去找答案。
	
#新加坡旅游[话题]# #吉隆坡旅游[话题]##亚庇旅游[话题]#","[""新加坡旅游"", ""吉隆坡旅游"", ""亚庇旅游""]",3,1580,1010,226,573,3389,2026-03-22T16:34:11,16,6,🔴阿婆_Audrey,0,29535,micro,10,http://sns-webpic-qc.xhscdn.com/202604081511/3a59742dfbb18f9051d5cf41149cc465/notes_pre_post/1040g3k831u0rfo92nqe04a0o6e7hef8m08thrdg!nd_dft_wlteh_webp_3,,福建,,14,781,0,0,0,0,,,2026-04-08 14:23:37
69c811500000000023005c5b,travel,image,偶然在别的帖子刷到这张100个旅游必去地,"然后就开始感慨
读书的时候不爱旅游，一半因为每次旅游时，父母都会持续不断地为旅游里不顺心的事爆发吵架，一半因为寒暑假不间断的补习班。大学则是因为口罩被关了三年半哪也没去。
大学本科毕业之后没读研，直接找了个工作，算是宣告了我和景区半价票的永别（以我的身体状况，70岁时没有卧病在床已经是祖宗保佑了，不敢奢望还有力气出去旅游）。
因为工作太苦闷，开始幻想去各地旅游。但囿于短暂的假期、高昂的机酒和自己精力不足，三天假期能在景区的酒店里躺两天，最后只能趁着傍晚刚睡醒（放假时我和同游的朋友都是从前一天晚上的十点多睡到第二天下午四点多才能清醒）的时候匆忙去景区和旁边的商业街溜两圈。如果是不得已的情况一定要早起去景区，那过了中午也一定要回酒店补觉。一般情况下会一觉睡到晚上七八点，然后点个外卖吃吃，然后继续睡到第二天下午一两点。
后来，我在工作中不小心把腿摔断了，跟公司协商好拿了赔偿后便离职了。虽然有了大把空闲时间和一笔不多的存款，看似可以开始旅行了，但我的腿却因为工伤留下了后遗症，再也没法自如地上下楼和奔跑。大概率这辈子是注定去不了所有名山峻岭和需要爬大量台阶的地方了。
前段时间去了趟黄龙-九寨沟，在黄龙高反严重到氧气瓶不离身，在九寨沟只是轻微的缺氧。这种恐怖的感觉让我从此告别了一切海拔两千米以上的景点。
划掉以上受限制的地方之后，还有哪些景区是我能去的呢？#人生必去的景点[话题]#","[""人生必去的景点""]",1,8,6,2,1,17,2026-03-29T01:35:12,1,6,猫听完也睡着了,0,14,nano,1,http://sns-webpic-qc.xhscdn.com/202604081511/968c05e26c936b353b8a277dd1de1ddd/notes_pre_post/1040g3k031u91off8ia005ocma9tk1oo9ulcffb8!nd_dft_wlteh_webp_3,,陕西,,20,594,0,1,2,0,,,2026-04-08 14:23:37
6998682d000000001b01d7b4,travel,image,网上都是骗人的！乌镇其实根本没多少人,"不好意思，这波是照骗➕标题党。初三去的乌镇感觉有一亿人在攻打这里，体验感真的很糟糕但是还是找到了一些能看的照片。
*人少的时候乌镇还是很漂亮#新年旅行第一站[话题]# #上有天堂下有苏杭[话题]# #免费游古镇[话题]# #永远被江南古镇美景折服[话题]# #古镇[话题]# #我本无意入江南[话题]#","[""新年旅行第一站"", ""上有天堂下有苏杭"", ""免费游古镇"", ""永远被江南古镇美景折服"", ""古镇"", ""我本无意入江南""]",6,44,6,0,7,57,2026-02-20T21:57:01,21,4,馄饨元素sothep,0,820,nano,12,http://sns-webpic-qc.xhscdn.com/202604081511/f7c3ef803f58e520859da885add19545/notes_uhdr/1040g3qg31sqgugn1lk4g5oeg4mm41s3bgr4l3go!nd_dft_wgth_webp_3,,,,18,151,1,0,1,0,,,2026-04-08 14:23:37
69ba5cac0000000022026559,travel,image,个人认为中国旅游百强市！,仅供参考#排行榜[话题]# #旅游攻略[话题]# #一生中值得去旅游的地方[话题]# #这里是美丽中国[话题]# #浙江[话题]# #江苏[话题]##山东[话题]##广东[话题]##福建[话题]##旅游[话题]#,"[""排行榜"", ""旅游攻略"", ""一生中值得去旅游的地方"", ""这里是美丽中国"", ""浙江"", ""江苏"", ""山东"", ""广东"", ""福建"", ""旅游""]",10,270,108,364,29,771,2026-03-18T16:05:00,16,2,金金金,0,7437,micro,1,http://sns-webpic-qc.xhscdn.com/202604081511/271ecd6253f142e8128dc08843ab0058/notes_pre_post/1040g3k031trlucjb786g5pk6563jujgukgn37o0!nd_dft_wlteh_webp_3,,上海,,12,106,0,0,1,0,,,2026-04-08 14:23:37
