note_id,category,note_type,title,content,tags,tag_count,likes,collects,comments_count,shares,engagement,publish_time,publish_hour,publish_weekday,author_name,author_fans,author_total_likes,author_tier,image_count,cover_url,video_duration,ip_location,source_keyword,title_length,content_length,has_emoji,has_numbers,title_hook_count,is_viral,cover_analysis,content_analysis,imported_at
6977381a000000001a02bae4,fashion,image,又要到男朋友穿搭最拿手的季节了！😎,#男友穿搭[话题]# #ootd每日穿搭[话题]# #少年感[话题]# #简约干净[话题]# #春季穿搭[话题]# #春季新品[话题]#,"[""男友穿搭"", ""ootd每日穿搭"", ""少年感"", ""简约干净"", ""春季穿搭"", ""春季新品""]",6,476,142,18,120,756,2026-01-26T17:47:06,17,0,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082145/5f62037f200842e5a59efbcc543f9dc1/1040g00831rq3qgsaia005pm802unc8gcclhfjcg!nd_dft_wlteh_webp_3,,,,17,68,1,0,1,0,,,2026-04-08 14:23:37
6971f10f000000000e03c364,fashion,image,男朋友这么会穿 能笑醒吧！🙉,#男友穿搭[话题]# #ootd每日穿搭[话题]# #少年感[话题]# #你的理想男友已上线[话题]# #简约干净[话题]# #冬季棉服[话题]# #冬季穿搭[话题]#,"[""男友穿搭"", ""ootd每日穿搭"", ""少年感"", ""你的理想男友已上线"", ""简约干净"", ""冬季棉服"", ""冬季穿搭""]",7,101,31,8,31,171,2026-01-22T17:42:39,17,3,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082145/a6423ea01df0519854b5c8226e9ad200/1040g2sg31rkusvtj2se05pm802unc8gckkanf60!nd_dft_wlteh_webp_3,,,,14,84,1,0,1,0,,,2026-04-08 14:23:37
696dfe7e000000001a023235,fashion,image,韩系街头感太适合秋冬了，男生就这样穿❄️,#男友穿搭[话题]# #少年感[话题]# #ootd每日穿搭[话题]# #简约干净[话题]# #街头风怎么穿[话题]# #帅气男友力穿搭[话题]# #韩系穿搭[话题]#,"[""男友穿搭"", ""少年感"", ""ootd每日穿搭"", ""简约干净"", ""街头风怎么穿"", ""帅气男友力穿搭"", ""韩系穿搭""]",7,71,27,4,19,121,2026-01-19T17:50:54,17,0,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082145/588685c9d9aed20d28394524c2eea285/1040g2sg31rh3hfsd00e05pm802unc8gc4ib2va8!nd_dft_wlteh_webp_3,,,,20,84,1,0,2,0,,,2026-04-08 14:23:37
6968ad0d000000001a030e3c,fashion,image,男朋友的少年感穿搭百看不厌🙉,#男友穿搭[话题]# #少年感[话题]# #ootd每日穿搭[话题]# #男生穿搭[话题]# #简约干净[话题]# #少年感穿搭[话题]# #约会穿搭[话题]# #秋冬穿搭[话题]#,"[""男友穿搭"", ""少年感"", ""ootd每日穿搭"", ""男生穿搭"", ""简约干净"", ""少年感穿搭"", ""约会穿搭"", ""秋冬穿搭""]",8,212,63,20,69,364,2026-01-15T17:02:05,17,3,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082145/9d7a1770b3f4bd0f04d4cddf7833a392/1040g00831ral6f08g01g5pm802unc8gcjnpva90!nd_dft_wlteh_webp_3,,,,14,91,1,0,0,0,,,2026-04-08 14:23:37
6967641c000000001a01e38a,fashion,image,还不知道羽绒服里穿什么毛衣的，直接抄🙋,#男友穿搭[话题]# #少年感[话题]# #ootd每日穿搭[话题]# #暖呼呼过冬[话题]# #降温穿什么[话题]# #拿捏冬日的轻盈感[话题]# #毛衣搭配[话题]# #内搭秋冬[话题]#,"[""男友穿搭"", ""少年感"", ""ootd每日穿搭"", ""暖呼呼过冬"", ""降温穿什么"", ""拿捏冬日的轻盈感"", ""毛衣搭配"", ""内搭秋冬""]",8,177,72,5,73,327,2026-01-14T17:38:36,17,2,小野要早睡,110457,551388,macro,17,http://sns-webpic-qc.xhscdn.com/202604082145/8915ad3fa7ea08641efd622120d61ce6/1040g2sg31ral6euqng705pm802unc8gcr3mnrh0!nd_dft_wlteh_webp_3,,,,19,96,1,0,0,0,,,2026-04-08 14:23:37
69660fdd000000000e00dff6,fashion,image,会穿搭的男朋友冬天常穿外套合集*1⃣️2⃣️,#男友穿搭[话题]# #少年感[话题]# #ootd每日穿搭[话题]# #男友风[话题]# #厚外套[话题]# #冬季棉服推荐[话题]# #秋冬外套[话题]# #棉服穿搭[话题]#,"[""男友穿搭"", ""少年感"", ""ootd每日穿搭"", ""男友风"", ""厚外套"", ""冬季棉服推荐"", ""秋冬外套"", ""棉服穿搭""]",8,59,20,1,23,103,2026-01-13T17:26:53,17,1,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082146/9396a4853cf581f5e573c510dd97d3fc/1040g00831r83kb43ng205pm802unc8gcgrpad70!nd_dft_wlteh_webp_3,,,,22,90,1,1,2,0,,,2026-04-08 14:23:37
6964c7f8000000001a0308fe,fashion,image,冬天让你175的男朋友这样穿！包帅的！🙈,#男友穿搭[话题]# #ootd每日穿搭[话题]# #少年感[话题]# #简约干净[话题]# #冬天既要保暖又要好看[话题]# #入冬怎么穿[话题]# #秋冬才是穿搭的主战场[话题]# #保暖穿搭[话题]#,"[""男友穿搭"", ""ootd每日穿搭"", ""少年感"", ""简约干净"", ""冬天既要保暖又要好看"", ""入冬怎么穿"", ""秋冬才是穿搭的主战场"", ""保暖穿搭""]",8,74,22,2,25,123,2026-01-12T18:07:52,18,0,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082146/1c6d3634ddfe26255ad51150a83803b2/1040g00831r83kb2k00005pm802unc8gcjdceqvg!nd_dft_wlteh_webp_3,,,,20,103,1,1,2,0,,,2026-04-08 14:23:37
6960cd6f000000001a0225d5,fashion,image,男朋友秋冬穿搭分享，简单干净又耐看！,#男友穿搭[话题]# #少年感[话题]# #ootd每日穿搭[话题]# #简约干净[话题]# #秋冬才是穿搭的主战场[话题]# #帅气男友力穿搭[话题]# #保暖又帅气[话题]#,"[""男友穿搭"", ""少年感"", ""ootd每日穿搭"", ""简约干净"", ""秋冬才是穿搭的主战场"", ""帅气男友力穿搭"", ""保暖又帅气""]",7,580,257,23,571,1431,2026-01-09T17:42:07,17,4,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082146/a4350c39fc1a08e636d1ffe92f85588d/1040g2sg31r479phk7ge05pm802unc8gc7g6lfc0!nd_dft_wlteh_webp_3,,,,18,89,0,0,1,0,,,2026-04-08 14:23:37
695e29ba000000001a036e01,fashion,image,永远喜欢男朋友的少年感穿搭🙉,#男友穿搭[话题]# #少年感[话题]# #ootd每日穿搭[话题]# #简约干净[话题]# #帅气男友力穿搭[话题]# #约会穿搭[话题]# #男友风[话题]# #男生休闲风穿搭[话题]#,"[""男友穿搭"", ""少年感"", ""ootd每日穿搭"", ""简约干净"", ""帅气男友力穿搭"", ""约会穿搭"", ""男友风"", ""男生休闲风穿搭""]",8,213,70,13,67,363,2026-01-07T17:39:06,17,2,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082146/c081f6872ba347f2ec7933a21e208b7c/1040g00831r0c70a2ga205pm802unc8gcmkf37v0!nd_dft_wlteh_webp_3,,,,14,95,1,0,0,0,,,2026-04-08 14:23:37
695cdd16000000001a02838c,fashion,image,带男朋友见家长就这样穿，妥妥的很安心🥰,#男友穿搭[话题]# #ootd每日穿搭[话题]# #简约干净[话题]# #见家长[话题]# #见家长穿搭[话题]# #约会穿搭[话题]# #羽绒服[话题]#,"[""男友穿搭"", ""ootd每日穿搭"", ""简约干净"", ""见家长"", ""见家长穿搭"", ""约会穿搭"", ""羽绒服""]",7,152,66,9,53,280,2026-01-06T17:59:50,17,1,小野要早睡,110457,551388,macro,18,http://sns-webpic-qc.xhscdn.com/202604082146/9679b6b97acef9c3b7692181d5475845/1040g00831r0c7066no005pm802unc8gchmsnbq8!nd_dft_wlteh_webp_3,,,,19,79,1,0,0,0,,,2026-04-08 14:23:37
